Classroom,Subject,Room,Teacher,TimeSlot,StartDate
SE1702,PRN211,100,TC00000,A24,1/7/2024
SE1702,PRN221,100,TC00001,A35,1/7/2024
SE1702,PRN231,100,TC00002,A46,1/7/2024
SE1702,SUB004,100,TC00003,A52,1/7/2024
SE1702,SUB005,100,TC00004,A63,1/7/2024
SE1710,SUB006,101,TC00005,P24,1/7/2024
SE1710,SUB007,101,TC00006,P35,1/7/2024
SE1710,SUB008,101,TC00007,P46,1/7/2024
SE1710,SUB009,101,TC00008,P52,1/7/2024
SE1710,SUB010,101,TC00009,P63,1/7/2024
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
