Classroom,Subject,Room,Teacher,TimeSlot,StartDate
SE1702,PRN211,a,TC00000,A24,10/3/2021
SE1703,PRN221,,TC00001,A24,1/1/2021
SE1704,PRN211,102,0,A24,2/1/2021
SE1702,PRN231,102,,A24,3/1/2021
SE1702,PRN231,1000,TC00003,A24,4/1/2021
SE1702,PRN231,102,TC00000,A24,5/1/2021
SE1703,PRN221,102,TC00001,A24,6/1/2021
SE1704,PRN211,102,TC00002,A24,7/1/2021
SE1702,PRN231,102,TC00003,A24,8/1/2021
,,102,,,
SE1702,PRN211,102,TC00000,A24,10/1/2021
SE1703,PRN221,102,TC00001,A24,11/1/2021
SE1704,PRN211,102,TC00002,A24,12/1/2021
SE1702,PRN231,102,TC00003,A24,1/1/2022
SE1702,PRN231,102,TC00003,A24,2/1/2022
SE1702,PRN211,102,TC00000,AAA,3/1/2022
SE1703,PRN221,102,TC00001,P35,4/1/2022
SE1704,PRN211,102,TC00002,P46,5/1/2022
SE1702,PRN231,102,TC00003,P52,6/1/2022
SE1702,PRN231,102,TC00003,P63,7/1/2022
SE1702,PRN211,102,,A24,8/1/2022
SE1703,PRN221,102,TC00001,A35,9/1/2022
SE1704,PRN211,102,,A46,10/1/2022
SE1702,PRN231,102,TC00003,A52,11/1/2022
SE1702,PRN231,102,TC00003,A63,12/1/2022
SE1702,PRN211,100,TC00000,P24,1/1/2023
SE1703,PRN221,101,TC00001,P35,2/1/2023
SE1704,PRN211,102,TC00002,P46,3/1/2023
SE1702,PRN231,100,TC00003,P52,4/1/2023
SE1702,PRN231,100,TC00003,P63,5/1/2023
SE1702,PRN211,100,TC00000,A24,6/1/2023
SE1703,PRN221,101,2,A35,7/1/2023
SE1704,PRN211,102,2,A46,8/1/2023
SE1702,PRN231,100,TC00003,A52,9/1/2023
SE1702,PRN231,100,2,A63,10/1/2023
SE1702,PRN211,100,TC00000,P24,11/1/2023
SE1702,PRN211,100,TC00000,P35,12/1/2023
